longitude,latitude,housing_median_age,total_rooms,population,households,median_income,median_house_value,x1,x2,x3,is_train
-122.28,37.9,52.0,2261.0,819.0,335.0,4.9083,346800.0,0.0048228532219389076,0.020924872898896874,0.0974370068504212,True
-122.28,37.75,20.0,1156.0,583.0,326.0,3.1972,100000.0,-0.010158891177722779,0.01727041074049803,-0.051777471561277155,True
-122.35,37.93,41.0,268.0,198.0,82.0,3.2222,156300.0,-0.009778431141784769,0.0876402957201015,0.1278164880238567,True
-122.44,37.76,30.0,5089.0,1935.0,1139.0,4.6053,386100.0,-0.05031137613459136,0.17187612248666867,-0.04042434617455837,True
-122.46,37.76,28.0,1072.0,363.0,168.0,6.1636,367700.0,-0.05543858491991213,0.19117301046590374,-0.040088452594134134,True
-122.34,37.93,45.0,2225.0,1304.0,459.0,2.64,112100.0,-0.00726756949204617,0.07820851395554262,0.12769742132625106,True
-122.45,38.28,20.0,3306.0,1374.0,460.0,5.7984,297600.0,0.005381933592283788,0.1715615121207957,0.4794957581667514,True
-122.1,37.65,25.0,2538.0,1185.0,501.0,4.5417,194400.0,0.0266090841584737,-0.1596473584325377,-0.15058991639009575,True
-122.25,37.82,32.0,3809.0,1806.0,1022.0,2.6429,218500.0,0.004519874803472617,-0.009760451257966348,0.017842095732572276,True
-122.26,37.77,52.0,1670.0,793.0,299.0,2.9732,282100.0,-0.003010013366080815,-0.0015018318563057751,-0.03189922929862622,True
-122.53,37.92,42.0,1741.0,723.0,306.0,5.5379,410500.0,-0.05584582566815984,0.25762724131649406,0.12234548864971818,True
-122.07,37.63,24.0,2329.0,1401.0,453.0,4.5913,177600.0,0.03240848604611944,-0.18921318471237802,-0.17032981701403788,True
-122.49,37.78,52.0,2050.0,1109.0,437.0,2.6719,318500.0,-0.061022246126158246,0.220290536875498,-0.019452938601860828,True
-122.1,37.66,37.0,901.0,599.0,206.0,3.7303,149700.0,0.027604096008915963,-0.15937269287975064,-0.14059990635352937,True
-122.08,37.36,31.0,2717.0,1001.0,381.0,9.281,500001.0,0.0015403378716581325,-0.18182723674577705,-0.4404563340846208,True
-122.44,37.74,23.0,184.0,118.0,40.0,4.5375,350000.0,-0.052371094875010245,0.1715798326809559,-0.06042297677408272,True
-122.51,37.96,39.0,3302.0,1574.0,653.0,3.6863,263800.0,-0.04635339171111634,0.23791225312259606,0.16177654960126114,True
-122.55,37.9,34.0,1431.0,503.0,220.0,7.9606,453400.0,-0.06309308660681757,0.27697224229071865,0.10298021737421757,True
-122.19,37.77,41.0,2036.0,1412.0,454.0,2.0469,89300.0,0.015063297293375945,-0.06895836426733669,-0.03167079752390054,True
-122.23,38.14,36.0,1412.0,792.0,268.0,2.3056,90400.0,0.04086857870188936,-0.01833556992122507,0.3362344963103382,True
