,longitude,latitude,housing_median_age,total_rooms,population,households,median_income,x1,x2,x3,median_house_value,is_train
0,-122.44,37.76,30.0,5089.0,1935.0,1139.0,4.6053,-0.050311376134591364,0.17187612248666867,-0.04042434617455837,386100.0,True
1,-122.25,37.82,32.0,3809.0,1806.0,1022.0,2.6429,0.0045198748034726175,-0.009760451257966348,0.017842095732572276,218500.0,True
2,-122.53,37.88,25.0,4921.0,1913.0,834.0,6.8742,-0.06033342519041804,0.258317952480706,0.08211635128205895,413100.0,True
3,-122.07,37.92,26.0,3872.0,1629.0,684.0,4.4312,0.06015011093722013,-0.17690811274820126,0.11982405154367322,225000.0,True
4,-122.09,37.7,33.0,4413.0,2239.0,1051.0,2.9861,0.034156723897031394,-0.16784359124578044,-0.10052655638720312,208200.0,True
5,-122.06,37.9,25.0,5869.0,2669.0,1554.0,2.6998,0.060888020282021026,-0.187558317416666,0.10008068811447587,216100.0,True
6,-122.44,37.77,52.0,5604.0,2023.0,1196.0,4.4085,-0.049276910428763206,0.17200694278832224,-0.03042530283638883,400000.0,True
7,-122.01,37.57,14.0,16199.0,8117.0,2847.0,5.8322,0.04187156920265369,-0.2484505294888527,-0.2300420342314859,281800.0,True
8,-122.17,38.08,7.0,18392.0,8276.0,2742.0,6.4232,0.04970682642879371,-0.07496226435315519,0.2772111371849371,229200.0,True
9,-122.27,37.85,52.0,4076.0,1800.0,815.0,2.7054,0.002375305246379767,0.01018317769294254,0.047682193256769916,182300.0,True
10,-122.32,37.92,28.0,4649.0,2606.0,953.0,3.2674,-0.003263100266976967,0.059185463209161265,0.11754945256003277,129100.0,True
11,-122.41,37.8,52.0,2892.0,1785.0,733.0,3.5746,-0.03849142435291601,0.1434876244189101,-0.0009296454855682248,350000.0,True
12,-122.32,38.06,4.0,7999.0,3596.0,1396.0,5.0969,0.011133311423566628,0.06107556621602625,0.2568776272023148,174200.0,True
13,-122.29,37.94,20.0,7578.0,3637.0,1362.0,4.4387,0.006316049410751763,0.0312641746932409,0.1372624403687961,190000.0,True
14,-122.28,37.78,29.0,5154.0,3741.0,1273.0,2.5762,-0.007168502934454014,0.018023599460956788,-0.021934528876322617,173400.0,True
15,-122.1,37.67,34.0,3659.0,2479.0,903.0,2.9564,0.028596314037788693,-0.15908761745017705,-0.13060997600097105,150500.0,True
16,-122.11,37.71,36.0,4569.0,1950.0,819.0,4.65,0.029937970760224,-0.148173560346949,-0.09076356359686127,206800.0,True
17,-122.05,37.95,27.0,3513.0,1875.0,694.0,3.1838,0.06794257307384856,-0.19380121869440955,0.15042035032686912,182000.0,True
18,-122.26,38.02,5.0,3846.0,2053.0,716.0,5.0473,0.021803569857461163,0.0051660941283599646,0.21677693407320225,184800.0,True
19,-122.48,37.79,52.0,4683.0,2246.0,975.0,4.1148,-0.057414878803857886,0.2107298692301885,-0.0096425957114739,457800.0,True
20,-122.27,37.82,41.0,3221.0,1959.0,720.0,1.1108,-0.0006122374329362159,0.009419912340870959,0.017840647667471506,97500.0,True
21,-122.25,37.81,29.0,4656.0,2304.0,1250.0,2.4912,0.003530098914515482,-0.010037583065933688,0.00789486998859907,257800.0,True
22,-122.58,38.1,22.0,11872.0,5600.0,2200.0,4.6463,-0.04649785008988882,0.29611281709423537,0.3060200689801006,276300.0,True
23,-122.57,38.11,32.0,3521.0,1706.0,723.0,3.4705,-0.04289775307143704,0.2864421077014897,0.31548715813849904,228600.0,True
24,-122.1,37.4,23.0,1755.0,1374.0,506.0,4.3077,0.0008141208935925441,-0.16307898443714586,-0.4003456308061189,293500.0,True
25,-122.13,37.43,32.0,4398.0,1799.0,792.0,4.7375,-0.0036358822796746897,-0.13442953036444966,-0.370281856101322,431900.0,True
26,-122.43,37.77,52.0,2714.0,1438.0,733.0,3.6031,-0.046714534265586284,0.16236620033323934,-0.030585466906985832,275000.0,True
27,-122.42,37.76,52.0,4407.0,2280.0,1076.0,3.3937,-0.045180465899549535,0.15257971799133174,-0.04072442340245193,270000.0,True
28,-122.45,37.74,46.0,6429.0,2535.0,1109.0,5.0887,-0.05493995775506628,0.1812413271417605,-0.06027154747988061,335100.0,True
