,longitude,latitude,housing_median_age,total_rooms,population,households,median_income,x1,x2,x3,median_house_value,is_train
0,-122.07,37.63,24.0,2329.0,1401.0,453.0,4.5913,0.032408486046119435,-0.189213184712378,-0.17032981701403788,177600.0,True
1,-122.19,37.77,41.0,2036.0,1412.0,454.0,2.0469,0.015063297293375943,-0.06895836426733669,-0.031670797523900535,89300.0,True
2,-122.01,37.53,19.0,4572.0,2346.0,709.0,6.0667,0.03768645888346185,-0.24888364696998236,-0.2702543972255844,245700.0,True
3,-122.22,37.78,44.0,2968.0,2269.0,610.0,2.3906,0.008296331468284478,-0.03975099742491872,-0.021873899644454197,111700.0,True
4,-122.14,37.47,37.0,3373.0,2909.0,705.0,2.8868,-0.002033863620150613,-0.12446224291329985,-0.3303696105251123,156600.0,True
5,-122.3,37.77,42.0,2038.0,2037.0,355.0,2.6447,-0.013317580596829191,0.037050303170340027,-0.03182853597662595,200000.0,True
6,-122.43,37.73,52.0,3602.0,2270.0,647.0,3.8934,-0.05082452558779137,0.1617474132295965,-0.07055997130275084,251800.0,True
7,-122.35,37.96,36.0,2191.0,1563.0,524.0,2.5164,-0.006659267975508043,0.08792549041088403,0.15769268698813038,114200.0,True
8,-122.34,37.99,42.0,1531.0,1271.0,377.0,2.6167,-0.0010491883332987184,0.0788472682227746,0.18743436208382333,85100.0,True
9,-122.26,38.16,23.0,2840.0,1586.0,466.0,4.0337,0.03569597033374383,0.008912114798378909,0.35603558410084424,130400.0,True
10,-122.43,37.72,52.0,2206.0,1583.0,456.0,3.7105,-0.051844766368495034,0.16156544484069998,-0.08055396976788562,250500.0,True
11,-122.21,37.48,39.0,1535.0,1204.0,370.0,2.8482,-0.018968194423399042,-0.05717381531424279,-0.3203696282153392,247200.0,True
12,-122.32,38.12,12.0,5382.0,3928.0,921.0,5.3785,0.0173653241185128,0.06165232041082505,0.3165869176629829,150600.0,True
