,longitude,latitude,housing_median_age,total_rooms,population,households,median_income,x1,x2,x3,median_house_value,is_train
0,-122.28,37.9,52.0,2261.0,819.0,335.0,4.9083,0.0048228532219389076,0.020924872898896874,0.0974370068504212,346800.0,True
1,-122.28,37.75,20.0,1156.0,583.0,326.0,3.1972,-0.010158891177722779,0.01727041074049803,-0.05177747156127716,100000.0,True
2,-122.35,37.93,41.0,268.0,198.0,82.0,3.2222,-0.009778431141784769,0.0876402957201015,0.1278164880238567,156300.0,True
3,-122.46,37.76,28.0,1072.0,363.0,168.0,6.1636,-0.05543858491991213,0.19117301046590374,-0.04008845259413413,367700.0,True
4,-122.34,37.93,45.0,2225.0,1304.0,459.0,2.64,-0.00726756949204617,0.07820851395554262,0.12769742132625106,112100.0,True
5,-122.45,38.28,20.0,3306.0,1374.0,460.0,5.7984,0.005381933592283788,0.1715615121207957,0.4794957581667514,297600.0,True
6,-122.1,37.65,25.0,2538.0,1185.0,501.0,4.5417,0.0266090841584737,-0.1596473584325377,-0.15058991639009575,194400.0,True
7,-122.26,37.77,52.0,1670.0,793.0,299.0,2.9732,-0.0030100133660808147,-0.0015018318563057751,-0.03189922929862622,282100.0,True
8,-122.53,37.92,42.0,1741.0,723.0,306.0,5.5379,-0.055845825668159835,0.2576272413164941,0.12234548864971817,410500.0,True
9,-122.49,37.78,52.0,2050.0,1109.0,437.0,2.6719,-0.06102224612615825,0.22029053687549804,-0.019452938601860828,318500.0,True
10,-122.1,37.66,37.0,901.0,599.0,206.0,3.7303,0.027604096008915963,-0.15937269287975064,-0.14059990635352934,149700.0,True
11,-122.08,37.36,31.0,2717.0,1001.0,381.0,9.281,0.0015403378716581325,-0.18182723674577705,-0.4404563340846208,500001.0,True
12,-122.44,37.74,23.0,184.0,118.0,40.0,4.5375,-0.05237109487501025,0.1715798326809559,-0.060422976774082725,350000.0,True
13,-122.51,37.96,39.0,3302.0,1574.0,653.0,3.6863,-0.04635339171111634,0.2379122531225961,0.16177654960126114,263800.0,True
14,-122.55,37.9,34.0,1431.0,503.0,220.0,7.9606,-0.06309308660681757,0.27697224229071865,0.10298021737421756,453400.0,True
15,-122.23,38.14,36.0,1412.0,792.0,268.0,2.3056,0.04086857870188936,-0.018335569921225068,0.3362344963103382,90400.0,True
16,-122.07,37.97,20.0,1705.0,856.0,341.0,3.7262,0.06465091417337572,-0.17374143895996685,0.16982624589927353,211800.0,True
17,-122.21,37.8,50.0,2833.0,1260.0,552.0,2.8929,0.012838735203041662,-0.048754809497508336,-0.001928365145119249,216700.0,True
18,-122.07,37.72,26.0,3204.0,1411.0,484.0,5.4834,0.04131598665131032,-0.1865008521807065,-0.0802635822788406,295200.0,True
19,-122.16,37.45,50.0,196.0,76.0,42.0,7.6129,-0.009215485099227908,-0.10558026228969698,-0.3502794712851245,412500.0,True
20,-122.18,37.72,45.0,1498.0,1003.0,305.0,3.8047,0.0127471495949083,-0.08017675978691208,-0.08138958855224848,156700.0,True
21,-122.16,37.83,16.0,4596.0,1480.0,650.0,7.52,0.02863060122711594,-0.09567486771012483,0.02834350207155452,370200.0,True
22,-122.24,37.85,52.0,3726.0,1366.0,496.0,9.3959,0.01004624664777273,-0.018478532222234254,0.04770206783013993,500001.0,True
23,-122.18,37.74,42.0,541.0,380.0,123.0,2.3456,0.01471198365575451,-0.07955914662291008,-0.06147426622564575,83500.0,True
24,-122.08,37.63,31.0,767.0,548.0,185.0,3.7614,0.029808759529544523,-0.1795307287759265,-0.17041451160619744,176000.0,True
25,-122.28,37.89,52.0,2616.0,1085.0,487.0,4.125,0.003821750589889115,0.02068992003575592,0.08748939577172148,270900.0,True
26,-122.26,38.33,34.0,2048.0,780.0,267.0,5.815,0.05256209148094832,0.01347289644036788,0.5251353713183954,339200.0,True
27,-122.28,37.77,52.0,1468.0,870.0,347.0,2.9688,-0.00816563022859082,0.017773775315724126,-0.03188217425175805,220800.0,True
28,-122.24,37.76,52.0,2504.0,979.0,472.0,3.4762,0.001160533369687527,-0.021057740294223068,-0.041827442046299984,244000.0,True
29,-122.48,37.75,48.0,2555.0,1285.0,482.0,3.7734,-0.06160361508157532,0.21035551386317602,-0.049741860860042585,314700.0,True
