0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181
75.22345886519219,0.13259156499002844,0.13829235083752522,0.13045876037408283,0.12832745063521706,0.12406597571814726,0.11980032957583742,75.2069905534674,0.13609811930509835,0.12839453188096187,0.1262986393338334,0.12210802968242315,0.11791337352264777,75.24992767032036,0.13390620619086843,0.13171579879741588,0.1273360790059717,0.12295198226702074,75.19005861611498,0.12427206397920525,0.12015228626773078,0.11602858775309939,75.17264255941129,0.11819801026176872,0.11414526026676809,75.13626856383381,0.11037998316385578,75.09767443901121,105.79,47.36,36.46,7.22,42.93,15.69,59.29,32.0,536.97,2.74,1287000064.0,105.39,46.49,36.93,7.06,43.61,15.61,61.75,32.02,542.58,2.69,1260000000.0,104.94,46.38,37.81,7.09,43.23,16.04,63.03,32.2,528.08,2.66,1332000000.0,102.57,45.79,37.34,6.78,42.59,16.02,64.25,31.8,530.73,2.58,1232999936.0,104.14,45.64,37.26,6.72,42.49,15.93,62.52,31.54,536.11,2.59,1206000000.0,102.16,45.09,36.69,6.38,41.87,15.77,63.69,31.13,528.04,2.48,1152000000.0,101.86,45.78,36.89,6.14,42.11,15.85,65.8,31.37,532.11,2.49,1098000000.0,105.79,47.36,36.46,7.22,42.93,15.69,59.29,32.0,536.97,2.74,1287000064.0,105.39,46.49,36.93,7.06,43.61,15.61,61.75,32.02,542.58,2.69,1260000000.0,104.94,46.38,37.81,7.09,43.23,16.04,63.03,32.2,528.08,2.66,1332000000.0,102.57,45.79,37.34,6.78,42.59,16.02,64.25,31.8,530.73,2.58,1232999936.0,104.14,45.64,37.26,6.72,42.49,15.93,62.52,31.54,536.11,2.59,1206000000.0,102.16,45.09,36.69,6.38,41.87,15.77,63.69,31.13,528.04,2.48,1152000000.0,101.86,45.78,36.89,6.14,42.11,15.85,65.8,31.37,532.11,2.49,1098000000.0
75.12799280324259,0.13919992497311,0.13128080751669416,0.1291276317050686,0.12482415787012685,0.12051868885738755,0.12554134436631337,75.1707341044328,0.13694716809298257,0.13469655293723126,0.1301981856906941,0.12569757021450562,0.13094786405756437,75.11113443443335,0.12704532762845644,0.1228148189663343,0.11858241202887924,0.12351984083587239,75.09379197183137,0.12080752409018891,0.1166481525612874,0.12150038588066595,75.05756513147038,0.11278256843156943,0.11746438492954142,75.01911795295025,0.11342674953019607,75.06375151044462,105.39,46.49,36.93,7.06,43.61,15.61,61.75,32.02,542.58,2.69,1260000000.0,104.94,46.38,37.81,7.09,43.23,16.04,63.03,32.2,528.08,2.66,1332000000.0,102.57,45.79,37.34,6.78,42.59,16.02,64.25,31.8,530.73,2.58,1232999936.0,104.14,45.64,37.26,6.72,42.49,15.93,62.52,31.54,536.11,2.59,1206000000.0,102.16,45.09,36.69,6.38,41.87,15.77,63.69,31.13,528.04,2.48,1152000000.0,101.86,45.78,36.89,6.14,42.11,15.85,65.8,31.37,532.11,2.49,1098000000.0,100.13,46.63,36.4,6.08,41.92,15.54,64.1,30.97,521.51,2.52,1160999936.0,105.39,46.49,36.93,7.06,43.61,15.61,61.75,32.02,542.58,2.69,1260000000.0,104.94,46.38,37.81,7.09,43.23,16.04,63.03,32.2,528.08,2.66,1332000000.0,102.57,45.79,37.34,6.78,42.59,16.02,64.25,31.8,530.73,2.58,1232999936.0,104.14,45.64,37.26,6.72,42.49,15.93,62.52,31.54,536.11,2.59,1206000000.0,102.16,45.09,36.69,6.38,41.87,15.77,63.69,31.13,528.04,2.48,1152000000.0,101.86,45.78,36.89,6.14,42.11,15.85,65.8,31.37,532.11,2.49,1098000000.0,100.13,46.63,36.4,6.08,41.92,15.54,64.1,30.97,521.51,2.52,1160999936.0
75.27628491282834,0.14102864732693088,0.13869638702798304,0.1340372588167163,0.12937893523282587,0.1348135081608853,0.12937893542287926,75.21704600495497,0.13076361947733192,0.1263831640809451,0.12200370788364524,0.12711296599931368,0.1220037080623039,75.1998021532381,0.1243040442466653,0.12000046801030874,0.12502120809161527,0.12000046818588303,75.16377253714043,0.11599914542235899,0.12084290519967865,0.11599914559174429,75.12552234769772,0.1166657538494716,0.11199911503212773,75.16992605467088,0.11666575401988742,75.12552234930568,104.94,46.38,37.81,7.09,43.23,16.04,63.03,32.2,528.08,2.66,1332000000.0,102.57,45.79,37.34,6.78,42.59,16.02,64.25,31.8,530.73,2.58,1232999936.0,104.14,45.64,37.26,6.72,42.49,15.93,62.52,31.54,536.11,2.59,1206000000.0,102.16,45.09,36.69,6.38,41.87,15.77,63.69,31.13,528.04,2.48,1152000000.0,101.86,45.78,36.89,6.14,42.11,15.85,65.8,31.37,532.11,2.49,1098000000.0,100.13,46.63,36.4,6.08,41.92,15.54,64.1,30.97,521.51,2.52,1160999936.0,98.76,47.2,36.6,5.8,41.67,15.29,64.04,30.71,515.84,2.47,1098000000.0,104.94,46.38,37.81,7.09,43.23,16.04,63.03,32.2,528.08,2.66,1332000000.0,102.57,45.79,37.34,6.78,42.59,16.02,64.25,31.8,530.73,2.58,1232999936.0,104.14,45.64,37.26,6.72,42.49,15.93,62.52,31.54,536.11,2.59,1206000000.0,102.16,45.09,36.69,6.38,41.87,15.77,63.69,31.13,528.04,2.48,1152000000.0,101.86,45.78,36.89,6.14,42.11,15.85,65.8,31.37,532.11,2.49,1098000000.0,100.13,46.63,36.4,6.08,41.92,15.54,64.1,30.97,521.51,2.52,1160999936.0,98.76,47.2,36.6,5.8,41.67,15.29,64.04,30.71,515.84,2.47,1098000000.0
74.79286339383442,0.13822102032728587,0.13353624404547462,0.1288588086725656,0.13431630471381956,0.12885880886326334,0.12339988757339278,74.77580826084908,0.13131126236735433,0.12671553060453306,0.13207770553821074,0.1267155307919071,0.12135205517400882,74.7401565206112,0.12243897527531522,0.12761074606413436,0.1224389754560145,0.11726615890039017,74.70228424250706,0.12315102879695368,0.11816958531847395,0.11318735850610238,74.74624704000186,0.12315102897875985,0.11794644886615444,74.70228424409964,0.11318735867239553,74.65499283652242,102.57,45.79,37.34,6.78,42.59,16.02,64.25,31.8,530.73,2.58,1232999936.0,104.14,45.64,37.26,6.72,42.49,15.93,62.52,31.54,536.11,2.59,1206000000.0,102.16,45.09,36.69,6.38,41.87,15.77,63.69,31.13,528.04,2.48,1152000000.0,101.86,45.78,36.89,6.14,42.11,15.85,65.8,31.37,532.11,2.49,1098000000.0,100.13,46.63,36.4,6.08,41.92,15.54,64.1,30.97,521.51,2.52,1160999936.0,98.76,47.2,36.6,5.8,41.67,15.29,64.04,30.71,515.84,2.47,1098000000.0,97.41,46.37,36.54,5.95,40.32,15.17,61.63,30.4,498.16,2.5,1035000000.0,102.57,45.79,37.34,6.78,42.59,16.02,64.25,31.8,530.73,2.58,1232999936.0,104.14,45.64,37.26,6.72,42.49,15.93,62.52,31.54,536.11,2.59,1206000000.0,102.16,45.09,36.69,6.38,41.87,15.77,63.69,31.13,528.04,2.48,1152000000.0,101.86,45.78,36.89,6.14,42.11,15.85,65.8,31.37,532.11,2.49,1098000000.0,100.13,46.63,36.4,6.08,41.92,15.54,64.1,30.97,521.51,2.52,1160999936.0,98.76,47.2,36.6,5.8,41.67,15.29,64.04,30.71,515.84,2.47,1098000000.0,97.41,46.37,36.54,5.95,40.32,15.17,61.63,30.4,498.16,2.5,1035000000.0
75.04065761506206,0.13803584469605035,0.13315412722305603,0.13885059219969173,0.1331541274219563,0.1274645657018947,0.12176677801693277,75.00536624700277,0.12860784165838257,0.1341005538369206,0.1286078418501725,0.12312203831569608,0.11762849471485438,74.96785468340029,0.1293643867786983,0.12407510609487057,0.11879274919557326,0.1135031460511919,75.01139666215188,0.12936438697164857,0.12384465438983668,0.11831710022118679,74.96785468497811,0.11879274937197994,0.11350314621924926,74.92098369702175,0.10869618648211489,74.87036629731894,104.14,45.64,37.26,6.72,42.49,15.93,62.52,31.54,536.11,2.59,1206000000.0,102.16,45.09,36.69,6.38,41.87,15.77,63.69,31.13,528.04,2.48,1152000000.0,101.86,45.78,36.89,6.14,42.11,15.85,65.8,31.37,532.11,2.49,1098000000.0,100.13,46.63,36.4,6.08,41.92,15.54,64.1,30.97,521.51,2.52,1160999936.0,98.76,47.2,36.6,5.8,41.67,15.29,64.04,30.71,515.84,2.47,1098000000.0,97.41,46.37,36.54,5.95,40.32,15.17,61.63,30.4,498.16,2.5,1035000000.0,99.84,46.93,37.8,6.13,40.84,15.66,62.85,30.98,506.45,2.55,972000000.0,104.14,45.64,37.26,6.72,42.49,15.93,62.52,31.54,536.11,2.59,1206000000.0,102.16,45.09,36.69,6.38,41.87,15.77,63.69,31.13,528.04,2.48,1152000000.0,101.86,45.78,36.89,6.14,42.11,15.85,65.8,31.37,532.11,2.49,1098000000.0,100.13,46.63,36.4,6.08,41.92,15.54,64.1,30.97,521.51,2.52,1160999936.0,98.76,47.2,36.6,5.8,41.67,15.29,64.04,30.71,515.84,2.47,1098000000.0,97.41,46.37,36.54,5.95,40.32,15.17,61.63,30.4,498.16,2.5,1035000000.0,99.84,46.93,37.8,6.13,40.84,15.66,62.85,30.98,506.45,2.55,972000000.0
75.12856952796966,0.13564945869623699,0.14151546305748955,0.13564945890087943,0.1298005546344911,0.12395265700621556,0.12060488543164206,75.09145711911698,0.13645778203320894,0.13081065444786222,0.12518031434613183,0.11955120178224349,0.11632876675680494,75.13453349328151,0.136457782239123,0.1305723995455174,0.12468798771039896,0.12131929847153546,75.09145712067863,0.12518031453423914,0.119551201961449,0.11632876693087808,75.0450519877875,0.11443052018542435,0.11135415344359764,74.99489956443513,0.10638149187499946,74.96436995349977,102.16,45.09,36.69,6.38,41.87,15.77,63.69,31.13,528.04,2.48,1152000000.0,101.86,45.78,36.89,6.14,42.11,15.85,65.8,31.37,532.11,2.49,1098000000.0,100.13,46.63,36.4,6.08,41.92,15.54,64.1,30.97,521.51,2.52,1160999936.0,98.76,47.2,36.6,5.8,41.67,15.29,64.04,30.71,515.84,2.47,1098000000.0,97.41,46.37,36.54,5.95,40.32,15.17,61.63,30.4,498.16,2.5,1035000000.0,99.84,46.93,37.8,6.13,40.84,15.66,62.85,30.98,506.45,2.55,972000000.0,102.8,47.91,37.71,6.44,42.43,15.9,64.25,31.65,514.62,2.55,936000000.0,102.16,45.09,36.69,6.38,41.87,15.77,63.69,31.13,528.04,2.48,1152000000.0,101.86,45.78,36.89,6.14,42.11,15.85,65.8,31.37,532.11,2.49,1098000000.0,100.13,46.63,36.4,6.08,41.92,15.54,64.1,30.97,521.51,2.52,1160999936.0,98.76,47.2,36.6,5.8,41.67,15.29,64.04,30.71,515.84,2.47,1098000000.0,97.41,46.37,36.54,5.95,40.32,15.17,61.63,30.4,498.16,2.5,1035000000.0,99.84,46.93,37.8,6.13,40.84,15.66,62.85,30.98,506.45,2.55,972000000.0,102.8,47.91,37.71,6.44,42.43,15.9,64.25,31.65,514.62,2.55,936000000.0
75.00468279311585,0.14190499936407916,0.13597869984697142,0.1300775200258231,0.12418475562320697,0.12081445753267715,0.12334259919403688,75.04741520914702,0.141904999580221,0.1357348484787721,0.12957313595552952,0.12604888946559445,0.1286925190204067,75.00468279466537,0.13007752022302493,0.12418475581102577,0.12081445771515655,0.12334259938051997,74.95862245015338,0.11882015888556373,0.11560343873797395,0.11801636996862647,74.90881464408116,0.11040085337358696,0.11269856413764812,74.87848156213758,0.10965740070527556,74.90136528144714,101.86,45.78,36.89,6.14,42.11,15.85,65.8,31.37,532.11,2.49,1098000000.0,100.13,46.63,36.4,6.08,41.92,15.54,64.1,30.97,521.51,2.52,1160999936.0,98.76,47.2,36.6,5.8,41.67,15.29,64.04,30.71,515.84,2.47,1098000000.0,97.41,46.37,36.54,5.95,40.32,15.17,61.63,30.4,498.16,2.5,1035000000.0,99.84,46.93,37.8,6.13,40.84,15.66,62.85,30.98,506.45,2.55,972000000.0,102.8,47.91,37.71,6.44,42.43,15.9,64.25,31.65,514.62,2.55,936000000.0,102.0,46.8,37.95,6.89,42.55,15.99,64.14,31.09,520.04,2.57,963000000.0,101.86,45.78,36.89,6.14,42.11,15.85,65.8,31.37,532.11,2.49,1098000000.0,100.13,46.63,36.4,6.08,41.92,15.54,64.1,30.97,521.51,2.52,1160999936.0,98.76,47.2,36.6,5.8,41.67,15.29,64.04,30.71,515.84,2.47,1098000000.0,97.41,46.37,36.54,5.95,40.32,15.17,61.63,30.4,498.16,2.5,1035000000.0,99.84,46.93,37.8,6.13,40.84,15.66,62.85,30.98,506.45,2.55,972000000.0,102.8,47.91,37.71,6.44,42.43,15.9,64.25,31.65,514.62,2.55,936000000.0,102.0,46.8,37.95,6.89,42.55,15.99,64.14,31.09,520.04,2.57,963000000.0
74.96924571580664,0.14549152521972278,0.13913189122442457,0.1327859672660913,0.12915851200624986,0.13187941739878947,0.13369240512061129,74.92673465564653,0.13329792484741146,0.1272301004275841,0.12376174649285623,0.12636330407875,0.12809679550592618,74.88089650544286,0.12170341166299918,0.1183936569677309,0.12087624287829629,0.12253049023539993,74.83131100712879,0.11303856314036395,0.11540225112998939,0.11697730515320266,74.80110477826311,0.11227365606767273,0.11380339803538984,74.82389337623694,0.11618407882547695,74.8386420859572,100.13,46.63,36.4,6.08,41.92,15.54,64.1,30.97,521.51,2.52,1160999936.0,98.76,47.2,36.6,5.8,41.67,15.29,64.04,30.71,515.84,2.47,1098000000.0,97.41,46.37,36.54,5.95,40.32,15.17,61.63,30.4,498.16,2.5,1035000000.0,99.84,46.93,37.8,6.13,40.84,15.66,62.85,30.98,506.45,2.55,972000000.0,102.8,47.91,37.71,6.44,42.43,15.9,64.25,31.65,514.62,2.55,936000000.0,102.0,46.8,37.95,6.89,42.55,15.99,64.14,31.09,520.04,2.57,963000000.0,103.06,47.45,38.01,6.84,42.84,16.07,64.0,31.81,532.3,2.66,981000000.0,100.13,46.63,36.4,6.08,41.92,15.54,64.1,30.97,521.51,2.52,1160999936.0,98.76,47.2,36.6,5.8,41.67,15.29,64.04,30.71,515.84,2.47,1098000000.0,97.41,46.37,36.54,5.95,40.32,15.17,61.63,30.4,498.16,2.5,1035000000.0,99.84,46.93,37.8,6.13,40.84,15.66,62.85,30.98,506.45,2.55,972000000.0,102.8,47.91,37.71,6.44,42.43,15.9,64.25,31.65,514.62,2.55,936000000.0,102.0,46.8,37.95,6.89,42.55,15.99,64.14,31.09,520.04,2.57,963000000.0,103.06,47.45,38.01,6.84,42.84,16.07,64.0,31.81,532.3,2.66,981000000.0
74.0801131975975,0.1375655311072218,0.13126482221796923,0.12766613147204137,0.13036526708646162,0.13216439752934217,0.13576407120827205,74.03455092804714,0.12552235811307824,0.12208897208248036,0.12466411360562786,0.12638062915858975,0.12981510160025794,73.98524209363815,0.1165311087791566,0.11898244734728097,0.1206164772251154,0.12388601156899715,73.95519397214304,0.1157376941800707,0.11732456065795392,0.12049978918862542,73.97786399775651,0.11979358632814832,0.12303955343257315,73.99253363565045,0.12473249812926153,74.02086527376348,98.76,47.2,36.6,5.8,41.67,15.29,64.04,30.71,515.84,2.47,1098000000.0,97.41,46.37,36.54,5.95,40.32,15.17,61.63,30.4,498.16,2.5,1035000000.0,99.84,46.93,37.8,6.13,40.84,15.66,62.85,30.98,506.45,2.55,972000000.0,102.8,47.91,37.71,6.44,42.43,15.9,64.25,31.65,514.62,2.55,936000000.0,102.0,46.8,37.95,6.89,42.55,15.99,64.14,31.09,520.04,2.57,963000000.0,103.06,47.45,38.01,6.84,42.84,16.07,64.0,31.81,532.3,2.66,981000000.0,102.7,47.89,38.39,6.89,43.26,16.27,62.48,32.0,538.77,2.67,1017000000.0,98.76,47.2,36.6,5.8,41.67,15.29,64.04,30.71,515.84,2.47,1098000000.0,97.41,46.37,36.54,5.95,40.32,15.17,61.63,30.4,498.16,2.5,1035000000.0,99.84,46.93,37.8,6.13,40.84,15.66,62.85,30.98,506.45,2.55,972000000.0,102.8,47.91,37.71,6.44,42.43,15.9,64.25,31.65,514.62,2.55,936000000.0,102.0,46.8,37.95,6.89,42.55,15.99,64.14,31.09,520.04,2.57,963000000.0,103.06,47.45,38.01,6.84,42.84,16.07,64.0,31.81,532.3,2.66,981000000.0,102.7,47.89,38.39,6.89,43.26,16.27,62.48,32.0,538.77,2.67,1017000000.0
73.32515294239353,0.12726173800855703,0.12377163661462211,0.12638923396040264,0.1281343246649268,0.13162664788667536,0.13337478129427038,73.27596882876463,0.11812070752225903,0.12061223918456117,0.12227332483350832,0.1255976426573354,0.1272617374820433,73.24599201993699,0.11731421810597047,0.11892728673469319,0.12215557531789419,0.12377163610333909,73.26860856251312,0.12143682562875895,0.12473714350894972,0.12638923343768657,73.283242541945,0.12645822564945586,0.12813432413465056,73.3115028952686,0.1316266473412263,73.32515293812577,97.41,46.37,36.54,5.95,40.32,15.17,61.63,30.4,498.16,2.5,1035000000.0,99.84,46.93,37.8,6.13,40.84,15.66,62.85,30.98,506.45,2.55,972000000.0,102.8,47.91,37.71,6.44,42.43,15.9,64.25,31.65,514.62,2.55,936000000.0,102.0,46.8,37.95,6.89,42.55,15.99,64.14,31.09,520.04,2.57,963000000.0,103.06,47.45,38.01,6.84,42.84,16.07,64.0,31.81,532.3,2.66,981000000.0,102.7,47.89,38.39,6.89,43.26,16.27,62.48,32.0,538.77,2.67,1017000000.0,102.21,48.05,38.46,6.84,42.98,16.31,64.93,32.01,536.93,2.65,1035000000.0,97.41,46.37,36.54,5.95,40.32,15.17,61.63,30.4,498.16,2.5,1035000000.0,99.84,46.93,37.8,6.13,40.84,15.66,62.85,30.98,506.45,2.55,972000000.0,102.8,47.91,37.71,6.44,42.43,15.9,64.25,31.65,514.62,2.55,936000000.0,102.0,46.8,37.95,6.89,42.55,15.99,64.14,31.09,520.04,2.57,963000000.0,103.06,47.45,38.01,6.84,42.84,16.07,64.0,31.81,532.3,2.66,981000000.0,102.7,47.89,38.39,6.89,43.26,16.27,62.48,32.0,538.77,2.67,1017000000.0,102.21,48.05,38.46,6.84,42.98,16.31,64.93,32.01,536.93,2.65,1035000000.0
